IPSI,magenta
664,60
695,63
673,66
677,67
634,71
687,73
656,88
684,97
626,105
675,112
648,118
648,130
680,134
668,163
691,166
677,168
684,173
906,260
785,269
726,270
777,273
809,273
823,277
840,277
860,278
831,280
890,280
876,284
787,285
120,286
808,286
798,287
847,288
853,290
830,292
762,293
822,294
890,294
781,295
786,295
768,296
820,297
842,301
856,304
878,304
795,305
834,305
781,306
802,307
825,307
763,311
823,311
862,311
866,312
803,314
789,315
880,316
777,317
868,320
860,321
901,321
836,322
813,323
892,324
849,325
874,328
766,330
860,330
779,331
807,331
822,332
839,333
892,333
872,334
908,335
913,335
873,337
783,340
801,340
854,340
886,340
766,341
807,341
867,341
900,341
840,342
916,342
824,343
881,343
817,344
851,344
787,345
861,345
912,346
838,347
870,347
859,348
898,348
766,350
848,354
889,354
866,355
797,356
828,357
781,358
823,358
750,359
894,360
917,360
875,361
816,362
906,362
761,363
851,365
825,366
847,366
781,367
832,367
880,367
914,367
907,368
809,369
911,369
821,373
780,374
848,374
858,374
889,376
795,379
870,379
833,380
839,380
900,380
778,384
884,384
829,386
864,386
917,387
907,388
845,389
786,392
815,392
842,395
895,395
883,396
875,398
901,399
850,402
783,403
858,404
920,404
902,405
513,406
802,406
839,407
862,407
826,408
839,409
814,413
872,415
886,416
775,419
846,419
863,419
890,420
899,421
848,422
788,424
921,424
866,425
888,425
913,425
796,427
827,427
882,428
782,429
919,429
789,436
859,438
908,438
918,438
828,439
870,440
810,441
807,442
878,442
908,444
774,445
804,446
848,447
893,451
835,453
860,453
823,454
811,455
877,455
843,457
916,457
850,458
899,458
902,460
890,462
791,465
860,465
911,466
828,468
790,469
856,471
818,472
905,472
911,472
805,475
836,478
902,478
893,479
800,483
907,484
791,486
816,486
860,486
876,487
850,488
903,488
913,488
870,489
837,490
901,494
797,496
799,498
888,500
851,501
860,501
908,501
869,502
808,504
898,505
815,506
789,508
900,509
914,510
827,511
836,511
900,511
903,511
869,512
861,517
896,519
913,519
847,520
809,521
864,523
796,524
839,524
882,525
811,526
891,526
901,526
783,527
839,528
875,528
885,528
882,530
870,531
826,532
841,532
768,533
802,533
823,533
838,536
813,538
912,539
845,540
906,540
879,541
816,545
884,545
797,548
904,550
800,551
880,551
843,553
854,553
861,555
783,559
854,559
812,562
870,562
834,563
882,564
895,565
778,566
898,566
781,569
809,570
862,572
790,573
851,573
897,577
837,579
883,581
777,583
895,583
817,584
862,584
882,586
781,587
778,588
874,590
880,592
892,592
730,593
801,593
828,593
830,595
835,596
868,597
787,598
845,598
833,602
891,602
801,610
810,610
788,615
499,625
611,771
607,780
620,782
403,793
591,797
596,800
615,808
578,811
602,818
624,818
592,826
597,833
632,834
600,842
583,843
610,845
522,846
589,849
578,851
553,852
639,853
587,855
604,855
633,855
626,859
597,861
623,862
578,863
608,863
635,865
580,866
559,869
633,869
596,871
612,874
640,874
645,893
