"V1","V2"
710.159236073194,15.0127388858555
760,19
1050,-31
1330,-81
1630,-261
1870,-541
1970,-841
2060,-1261
2030,-1681
2030,-2001
1940,-2231
1840,-2441
1560,-2491
1370,-2531
1330,-2361
1260,-2401
1050,-2491
970,-2581
640,-2571
370,-2581
250,-2671
310,-2881
260,-3101
100,-3211
-160,-3161
-280,-2971
-220,-2781
-50,-2571
0,-2261
-200,-1901
-660,-1431
-970,-1081
-800,-1011
-910,-481
-800,-151
-530,-1
-640,29
-790,-71
-800,-81
-930,-231
-1070,-271
-1230,-341
-1440,-331
-1720,-391
-1840,-391
-1880,-311
-1950,-141
-2070,19
-2140,239
-2120,459
-2120,689
-2240,749
-2330,589
-2500,539
-2610,579
-2780,549
-2890,589
-2890,709
-2760,819
-2780,909
-2900,989
-2820,1009
-2660,1039
-2710,1109
-2810,1149
-2760,1279
-2650,1309
-2630,1439
-2550,1599
-2460,1989
-2170,2349
-1970,2429
-1850,2339
-1510,2209
-1490,2209
-1330,2099
-1230,2059
-1200,2319
-1190,2619
-1040,2709
-1020,2689
-900,2819
-870,2919
-1020,2979
-1040,3229
-1080,3549
-1090,3779
-950,4009
-890,4209
-720,4389
-620,4219
-470,4149
-310,4039
-150,3989
-20,4019
80,3859
310,3649
400,3469
550,3459
690,3369
750,3429
770,3649
950,3899
1160,4039
1290,4119
1520,4079
1770,3939
2040,3819
2250,3759
2290,3739
2580,3569
2880,3309
3040,3219
3130,2809
3020,2449
2890,2219
2750,1949
2560,1849
2240,1459
2200,1459
2060,1319
1850,1169
1660,1029
1420,869
1230,719
1070,669
920,629
860,599
930,539
870,439
510,29
537.777777777778,1.22222222222224
