"V1","V2"
51,168.061693197644
113,175.325082471442
146,181.761928973854
184,197.695276852147
166,170.773702891203
222,182.687544911687
270,191.08449940437
312,209.178933649314
330,222.789766008917
309,168.964116571002
281,100.281889402406
262,66.1686730604976
279,17.9905150139195
286,0.696951338063172
342,5.56438996348129
422,16.7308271964454
478,27.5643166287562
547,50.8257536064638
526,91.8579038743016
509,127.46506361322
507,142.590676121596
520,144.30356659284
554,126.639959323391
586,112.056310229535
610,104.951265140767
628,161.789300168433
640,227.698338755126
654,289.431615665638
656,335.033627248993
651,364.426554387178
590,362.636033169804
527,352.674880237038
498,335.975255281482
480,315.922493557566
494,353.588279693882
515,377.650171272609
546,415.146633511929
577,444.394254576447
581,450.291286025093
543,472.355858918011
510,496.542053479696
471,521.823118422506
458,527.303031038891
460,496.542053479696
481,458.26064142566
504,433.098998046373
516,424.611098749908
480,434.623397379728
459,458.977324864911
423,484.630827028999
366,501.725267603249
323,506.843142050514
304,461.831295491112
290,399.708219950414
299,349.005852756949
302,334.090598956108
327,297.346124427242
295,307.167132133857
264,339.727594425657
215,381.977029023747
165,416.739175202376
143,426.167546841341
132,427.718091882543
110,352.674880237038
108,323.628039511494
87,302.267750698721
78,290.423316230271
99,278.487325549335
126,285.45888308413
151,287.446390007931
114,259.500364090215
76,245.526220570226
65,204.371932004715
