"V1","V2"
450,746
383,728
311,715
218,720
132,712
61,730
34,739
88,884
184,1110
254,1037
263,1004
271,979
308,1007
318,1053
324,1096
343,1153
351,1165
541,1179
590,1175
628,1162
689,1161
693,1136
700,1078
685,1000
665,958
651,921
714,921
753,926
887,930
909,931
930,828
925,730
924,659
901,596
763,581
726,577
652,581
612,592
596,596
594,614
550,626
534,617
513,589
555,598
567,564
611,487
625,454
647,374
643,301
575,323
525,328
401,348
332,366
308,370
323,422
326,467
346,543
384,614
434,682
456,701
462,731
488,743
