CONTRA,GREEN
875,810
143,773
59,119
890,125
575,365
602,324
612,368
516,174
663,348
478,332
524,480
473,526
479,369
560,190
422,361
635,200
457,511
522,205
705,527
439,299
500,206
547,503
353,154
572,474
586,286
461,146
587,461
509,137
610,798
458,112
723,473
484,345
703,338
576,500
483,496
585,397
681,384
622,179
435,393
700,547
626,524
418,371
527,333
410,573
627,451
351,440
526,219
536,421
456,343
404,198
638,491
579,331
521,308
558,394
536,234
774,469
430,326
579,840
537,210
697,291
377,251
402,669
719,399
448,361
488,285
619,186
654,573
379,339
431,329
583,187
728,605
470,405
585,355
744,525
484,146
516,509
702,377
721,337
347,301
466,391
630,335
591,362
720,493
414,409
611,288
664,506
677,332
391,397
710,390
717,381
484,226
544,306
495,495
595,457
446,359
520,222
367,731
473,550
512,533
411,391
835,629
526,190
543,551
687,472
430,84
616,379
574,376
567,345
721,508
363,443
461,324
543,200
588,199
491,367
465,319
636,531
460,307
728,294
423,114
484,180
434,438
667,396
601,335
666,425
523,397
562,731
441,367
544,181
629,180
594,779
487,620
519,556
441,277
754,505
549,470
397,293
567,288
760,407
576,456
729,434
232,408
638,274
584,518
536,512
684,499
295,301
671,603
714,555
629,545
730,523
480,476
504,334
738,317
620,321
550,676
591,538
602,401
489,307
586,298
530,207
607,157
613,268
537,161
460,836
687,318
757,284
553,239
459,201
609,193
526,676
635,576
630,451
546,410
422,368
409,341
592,330
483,126
767,609
484,489
493,384
453,375
435,346
621,789
512,692
505,156
618,147
601,703
442,400
710,357
519,835
840,630
432,203
415,152
409,813
494,475
526,373
563,309
632,243
331,215
431,765
479,421
471,400
543,381
466,212
631,151
536,776
696,602
558,432
518,201
642,197
588,148
741,570
565,566
372,424
446,418
468,387
544,262
492,599
761,549
670,528
624,358
586,239
491,859
737,619
551,404
497,367
510,187
561,489
354,420
333,216
876,507
604,375
586,325
417,280
545,223
468,721
700,611
769,519
565,425
348,229
629,433
737,386
465,336
535,247
561,549
537,533
584,480
425,428
484,410
394,261
399,109
667,543
678,322
472,195
327,470
390,805
314,403
514,362
574,651
654,320
600,266
598,207
551,186
537,168
351,753
584,699
683,551
460,538
505,389
326,816
496,711
651,512
462,369
752,521
597,378
579,316
472,257
652,229
496,799
520,525
457,520
455,437
394,311
532,830
436,804
553,700
587,557
586,468
693,615
689,573
764,565
292,465
451,409
426,350
463,348
539,334
614,213
533,549
702,504
384,421
640,342
534,272
573,263
521,249
564,234
531,185
610,156
428,134
829,627
467,597
491,568
789,557
713,453
488,433
392,429
725,327
394,140
519,277
420,225
441,163
553,392
429,185
569,673
526,673
695,599
761,522
567,413
638,401
488,333
651,319
664,308
717,578
776,502
503,272
412,255
416,681
397,623
700,446
189,410
605,306
250,209
359,667
487,650
548,634
477,618
516,538
571,479
482,384
694,366
592,214
600,198
543,197
490,187
587,822
400,690
512,605
660,555
503,417
799,411
136,395
478,363
515,226
491,213
356,769
501,762
397,683
464,440
534,349
458,218
467,171
575,149
506,544
676,308
460,699
372,646
612,509
625,456
398,455
710,426
695,375
458,311
752,581
486,532
621,465
733,389
394,386
466,772
538,698
657,603
670,479
687,358
434,338
639,262
655,199
612,199
232,182
411,169
599,801
660,467
389,379
535,523
667,363
642,240
598,179
540,865
505,712
611,452
434,399
438,379
698,307
617,250
474,186
744,600
664,539
589,444
683,345
607,750
508,677
429,414
528,407
609,396
459,388
336,378
493,367
648,336
654,209
392,174
575,147
471,821
435,708
771,601
728,550
704,546
302,458
681,444
744,418
426,377
510,360
751,345
738,341
550,339
226,325
435,209
627,838
534,699
751,487
317,149
496,841
604,732
524,651
613,603
495,575
714,548
622,494
553,471
797,466
469,330
649,292
617,190
634,142
517,847
582,846
455,647
559,522
580,504
755,457
641,392
479,381
399,367
451,331
638,303
506,217
593,198
639,168
622,140
746,552
503,541
555,449
512,374
680,368
461,357
371,166
638,79
465,668
711,604
479,577
648,498
688,400
282,388
430,358
510,356
526,336
505,317
537,867
618,864
410,601
743,595
398,410
656,404
462,386
508,377
661,329
601,308
757,281
471,199
362,109
540,754
723,533
738,389
666,270
558,158
422,75
592,809
346,805
586,720
420,677
679,600
677,589
336,392
545,379
418,310
635,214
570,685
824,600
521,534
612,513
737,509
486,480
669,472
481,352
735,351
551,315
521,627
481,535
625,519
283,461
317,393
605,371
547,279
670,237
372,210
494,147
471,818
577,800
591,723
493,508
743,456
553,451
765,390
721,380
606,356
451,356
459,340
440,316
666,313
650,295
520,286
602,241
517,192
366,190
249,168
425,116
531,855
627,815
598,795
530,780
461,633
730,560
699,518
299,418
396,346
560,322
603,298
420,141
512,855
612,769
717,610
615,481
429,368
286,358
549,357
469,352
574,336
516,334
615,301
582,269
509,159
575,870
567,831
371,830
513,822
464,822
564,792
576,739
505,683
448,680
482,622
602,580
686,521
769,501
672,415
578,237
342,201
626,187
518,109
493,40
517,852
582,812
522,795
515,763
481,689
462,684
712,614
751,604
661,455
579,447
744,435
637,370
720,354
695,332
531,286
274,265
520,163
373,701
528,687
417,632
717,541
534,520
352,463
659,383
724,379
358,330
664,296
577,171
480,859
571,815
515,781
590,755
435,648
783,605
676,558
480,545
601,531
601,501
248,457
651,418
705,410
666,252
627,193
388,833
574,831
413,825
513,786
508,710
574,707
478,705
461,641
721,606
725,603
471,560
495,509
337,436
473,398
630,380
552,372
682,307
383,306
626,292
449,270
471,268
161,166
441,805
462,799
531,704
506,665
466,664
435,642
483,639
797,585
622,565
409,561
612,556
454,542
487,520
703,403
352,384
735,378
710,360
619,350
657,339
484,325
542,298
444,181
548,130
547,99
526,850
480,814
506,806
605,769
602,757
343,747
503,665
782,544
197,475
583,440
490,438
520,320
442,310
462,298
518,268
444,262
605,249
483,75
639,885
601,837
631,816
447,814
353,723
701,605
776,581
522,529
600,518
637,503
263,457
429,433
697,431
407,429
588,420
341,420
687,411
674,374
476,281
677,259
629,228
401,215
471,183
458,846
468,840
384,641
378,620
397,590
646,588
470,573
577,483
567,448
258,425
348,424
667,325
425,320
659,278
560,253
576,198
621,168
393,838
563,736
