"V1","V2"
412,696
390,746
345,784
273,826
308,828
280,850
184,918
158,940
116,1062
116,1067
254,1123
348,1147
465,1160
502,1163
508,1108
513,1035
513,1018
500,987
493,966
546,970
577,1010
605,1050
673,1115
737,1063
758,1044
809,1000
890,915
949,823
908,784
828,767
750,746
681,730
732,694
777,667
810,639
848,584
872,554
921,511
801,355
694,234
652,274
606,306
602,315
568,359
542,370
488,350
453,339
512,314
461,262
445,234
442,208
418,167
294,222
160,299
10,400
97,490
129,526
153,579
198,628
304,675
328,707
352,680
372,684
