CONTRA,RED
504,37
479,41
496,41
459,47
456,50
497,50
441,53
379,54
374,55
453,56
389,57
393,58
428,58
328,59
359,59
471,59
346,61
398,61
438,61
331,63
363,63
369,63
407,64
322,65
372,65
432,66
443,66
457,66
352,67
385,67
431,68
321,69
422,69
463,69
303,70
396,70
351,71
417,71
439,71
349,72
402,72
345,73
372,73
316,74
328,74
427,74
431,74
472,74
297,75
308,75
320,75
383,75
334,76
342,76
442,76
455,76
256,77
481,77
277,78
340,78
391,78
249,79
382,79
472,79
424,80
303,82
331,82
368,82
473,82
477,82
337,83
343,83
430,83
486,83
502,83
257,84
452,84
467,84
471,84
265,85
286,85
347,85
400,85
412,85
437,85
247,86
262,86
273,86
284,86
313,86
334,86
386,86
419,86
451,87
458,87
220,88
265,88
277,89
283,90
290,90
307,90
310,90
413,90
246,91
361,91
460,91
267,92
270,92
230,93
289,93
307,93
383,93
395,93
432,93
253,94
275,94
360,94
455,94
233,95
248,95
356,95
482,95
492,95
275,96
376,96
406,96
430,97
452,97
225,98
267,98
288,98
296,98
324,98
507,98
274,99
279,99
381,99
498,99
238,100
299,100
250,101
330,101
458,101
479,101
326,102
387,102
398,102
436,102
483,102
197,103
285,103
390,103
424,103
445,103
470,103
502,103
510,103
672,103
211,104
233,104
340,104
442,104
205,105
365,105
383,105
210,106
214,106
329,106
244,107
473,107
657,107
206,108
335,108
399,108
462,108
651,108
364,109
408,109
419,109
451,109
619,109
279,110
307,110
347,110
358,110
377,110
260,111
276,111
437,111
484,111
224,112
300,112
336,112
394,112
442,112
453,112
491,112
210,113
249,113
401,113
458,113
496,113
509,113
643,113
237,114
267,114
279,114
305,114
198,115
206,115
337,115
353,115
431,115
473,115
480,115
494,115
505,115
251,116
283,116
422,116
502,116
186,117
319,117
344,117
411,117
466,117
484,117
164,118
303,118
365,118
390,118
402,118
453,118
386,119
291,121
391,121
465,121
219,122
236,122
277,122
335,122
352,122
206,123
211,123
427,123
479,123
493,123
148,124
286,124
329,124
342,124
378,124
385,124
402,124
409,124
431,124
632,124
140,125
281,125
323,125
301,126
360,126
365,126
463,126
281,127
460,127
493,127
647,127
679,127
162,128
196,128
233,128
485,128
505,128
688,128
707,128
425,129
118,130
178,130
200,130
216,130
255,130
324,130
328,130
402,130
341,131
367,131
382,131
441,131
463,131
491,131
680,131
709,131
187,132
646,132
190,133
208,133
451,133
342,134
374,134
423,134
296,135
302,135
334,135
397,135
239,136
405,136
444,136
451,136
455,136
470,136
475,136
490,136
633,136
151,137
172,137
217,137
276,137
305,137
670,137
692,137
206,138
283,138
328,138
365,138
371,138
442,138
473,138
486,138
639,138
160,139
338,139
358,139
432,139
463,139
477,139
