IPSI,cyan
463,44
454,47
478,50
348,54
442,54
402,56
498,57
427,60
461,61
402,65
410,65
425,67
502,68
478,69
494,74
434,81
398,82
472,86
512,86
462,88
666,88
390,92
456,92
495,93
656,94
413,98
447,99
459,99
496,99
650,103
469,104
666,105
485,106
645,108
440,110
488,112
692,112
499,113
511,113
463,115
654,115
677,115
410,116
481,116
704,118
679,119
659,120
475,121
712,121
633,122
668,122
672,123
450,124
434,125
504,126
685,131
424,132
687,133
505,136
660,136
730,137
704,138
642,139
693,141
456,142
463,143
735,143
714,144
623,146
619,147
643,147
691,147
696,149
745,153
748,155
470,156
505,156
711,156
631,157
726,157
651,159
737,159
714,160
614,162
633,162
755,162
649,163
725,166
652,167
705,167
731,167
703,169
471,170
625,170
739,171
768,172
692,173
620,174
656,174
607,175
599,176
648,177
674,177
694,178
588,182
650,182
758,182
731,184
680,185
750,187
688,188
691,190
764,190
647,191
731,191
620,192
688,193
792,193
743,194
770,195
745,199
788,200
603,201
662,201
759,206
632,208
727,208
685,209
636,210
795,212
706,213
766,217
816,217
799,218
662,219
751,219
621,220
567,222
591,224
788,225
183,227
634,227
786,229
732,230
831,231
728,233
702,234
688,235
716,235
664,240
738,240
829,246
625,247
678,247
712,250
789,250
847,251
685,252
837,254
849,254
709,256
638,258
837,258
727,259
827,259
803,260
749,261
697,262
860,263
767,264
658,267
710,268
691,270
769,270
847,270
813,272
674,276
760,279
764,280
823,281
873,281
793,286
738,287
873,288
684,289
862,289
825,291
841,291
750,292
662,293
707,293
786,295
682,299
754,300
734,303
829,303
812,304
720,309
677,311
779,312
696,313
835,313
847,313
763,314
853,315
820,317
729,320
763,323
737,325
784,326
721,327
769,327
778,329
726,330
818,330
883,330
801,332
888,333
834,334
799,338
721,339
763,343
896,344
669,346
881,347
750,348
737,349
773,349
802,350
807,352
772,353
848,353
734,356
749,358
833,359
875,360
766,362
782,362
808,366
825,368
846,370
817,371
801,372
807,373
755,374
766,374
770,378
885,378
828,379
867,381
802,382
839,382
819,383
782,387
811,389
873,389
845,390
859,390
833,392
841,394
849,395
783,396
862,396
805,397
828,398
814,401
795,402
833,402
805,403
843,403
860,403
847,409
898,410
824,411
857,411
779,414
789,417
632,418
843,422
884,422
832,423
862,423
869,424
848,425
777,431
786,568
816,575
809,576
826,588
802,596
831,599
828,609
799,610
794,615
788,622
842,622
830,625
821,634
798,645
833,646
882,647
859,651
810,656
840,656
825,659
840,662
178,684
832,690
599,702
