"X","Y"
187,920
177,918
167,916
158,914
149,909
142,902
137,894
131,885
127,876
123,867
120,858
116,848
114,839
111,829
109,820
107,810
105,800
103,790
101,781
100,771
100,761
99,751
98,741
98,731
99,721
99,711
97,701
94,692
91,682
88,673
86,663
84,654
84,644
87,634
92,625
97,617
103,609
108,600
113,592
117,583
120,573
124,564
128,555
132,546
140,540
149,537
159,535
169,533
179,533
189,532
199,533
209,534
218,536
228,538
238,540
248,542
257,544
267,547
276,550
286,553
295,557
304,561
313,566
322,570
331,574
339,579
348,583
357,589
365,594
374,599
382,604
391,609
399,615
407,621
415,627
423,633
430,640
437,646
445,653
451,660
458,668
464,676
470,684
475,692
480,701
485,710
490,718
495,727
499,736
494,744
489,753
483,761
478,769
472,777
466,785
459,792
452,799
445,806
438,813
430,820
422,825
414,831
406,837
398,844
390,849
382,854
373,859
364,863
355,868
347,874
338,878
329,883
320,887
311,891
302,896
293,899
284,903
274,906
265,908
255,911
246,914
236,917
227,919
217,920
207,920
197,920
691,1357
680,1357
671,1355
661,1353
651,1351
642,1348
632,1346
623,1342
613,1338
604,1335
594,1333
584,1331
575,1328
566,1323
559,1316
556,1307
554,1297
552,1287
551,1277
551,1267
551,1257
552,1249
554,1238
556,1228
559,1218
562,1209
564,1199
566,1189
570,1180
574,1171
578,1162
582,1153
586,1144
591,1135
596,1126
600,1117
605,1109
610,1100
615,1091
620,1083
626,1074
631,1066
637,1058
644,1050
650,1043
656,1035
663,1027
670,1020
676,1013
684,1006
692,1000
699,994
707,988
716,983
724,977
735,971
742,975
751,980
760,986
768,991
776,998
783,1003
790,1010
797,1017
804,1024
810,1032
817,1040
823,1047
829,1055
835,1064
840,1072
845,1080
850,1089
856,1097
862,1105
868,1113
873,1122
878,1131
882,1140
887,1148
892,1157
896,1166
900,1175
903,1184
907,1194
909,1203
912,1214
914,1223
916,1233
916,1242
917,1252
918,1262
917,1272
917,1282
914,1292
909,1300
900,1305
892,1310
883,1314
874,1318
864,1322
855,1326
846,1330
836,1333
827,1336
817,1339
808,1342
799,1346
789,1348
779,1350
769,1351
759,1353
749,1354
740,1355
730,1355
720,1357
710,1358
700,1359
1246,919
1237,917
1227,916
1217,914
1207,912
1198,909
1188,906
1179,903
1170,899
1161,894
1152,890
1143,885
1134,880
1126,876
1117,870
1109,865
1101,860
1092,854
1084,848
1076,843
1067,838
1059,833
1051,827
1043,821
1035,815
1028,808
1021,801
1013,794
1006,787
999,780
993,773
987,765
982,757
977,748
973,742
970,736
975,726
983,713
988,704
993,695
998,687
1004,679
1010,671
1017,664
1024,656
1031,649
1038,643
1045,636
1052,629
1060,623
1068,617
1077,612
1085,606
1093,601
1101,595
1110,590
1119,586
1128,581
1137,577
1145,572
1154,568
1163,563
1172,559
1181,555
1191,552
1200,549
1210,546
1219,545
1229,542
1239,540
1249,539
1258,537
1268,537
1278,536
1288,537
1298,539
1307,543
1312,552
1317,560
1321,570
1324,579
1327,588
1330,598
1331,608
1334,617
1336,627
1338,637
1340,647
1341,656
1342,666
1344,676
1345,686
1346,696
1347,706
1349,715
1350,725
1351,735
1352,745
1353,755
1352,765
1350,775
1347,784
1344,794
1341,803
1338,812
1334,822
1331,831
1327,840
1324,850
1319,859
1315,868
1312,877
1308,886
1305,896
1301,905
1296,912
1286,916
1276,918
1266,918
1256,919
734,500
725,497
716,492
708,486
700,481
691,475
683,470
675,464
667,458
660,451
653,444
646,437
639,429
632,422
626,414
620,406
614,398
608,390
603,382
597,373
593,365
587,356
583,347
578,338
573,330
568,321
564,312
561,303
556,294
552,284
549,275
546,265
543,256
540,246
538,237
536,227
535,217
534,207
532,197
532,187
532,177
533,167
535,157
536,147
539,138
547,132
556,128
564,122
574,118
583,116
593,114
603,113
613,111
623,109
633,107
643,107
652,107
662,108
672,108
682,109
692,109
702,110
712,111
722,112
732,113
742,115
752,116
762,117
772,116
782,117
792,118
802,119
812,120
821,122
831,124
841,125
851,127
860,129
870,132
880,135
889,139
898,143
907,147
915,153
924,158
929,167
932,176
933,186
933,196
932,206
932,216
931,226
929,236
928,246
925,255
922,265
919,274
916,284
912,293
908,302
904,311
899,320
895,329
890,338
886,347
881,356
876,364
871,373
865,381
861,390
854,398
849,406
843,414
837,422
830,429
824,437
816,444
809,451
802,458
794,464
786,470
778,476
769,480
761,485
752,490
744,496
