"X","Y"
1566,2047
1569,2029
1571,2009
1573,1988
1573,1968
1572,1949
1570,1929
1566,1909
1561,1890
1556,1870
1552,1856
1541,1834
1534,1815
1525,1799
1516,1781
1507,1764
1496,1745
1489,1727
1480,1716
1466,1698
1455,1683
1442,1664
1433,1646
1424,1629
1416,1612
1407,1593
1395,1576
1384,1560
1372,1545
1358,1530
1343,1518
1328,1506
1312,1495
1298,1481
1281,1471
1265,1459
1248,1447
1229,1454
1204,1458
1184,1457
1161,1449
1151,1460
1135,1473
1119,1484
1103,1496
1087,1507
1072,1521
1057,1534
1042,1547
1031,1560
1020,1572
1004,1590
987,1611
976,1627
964,1643
953,1659
942,1676
933,1693
923,1710
913,1728
904,1745
895,1763
886,1781
878,1799
871,1818
862,1836
856,1855
848,1873
841,1891
836,1911
832,1930
826,1949
823,1969
821,1988
819,2008
817,2028
817,2048
820,2068
824,2087
830,2106
839,2124
848,2135
874,2140
894,2146
913,2149
933,2149
953,2153
972,2155
992,2156
1012,2154
1032,2157
1052,2157
1071,2157
1091,2159
1111,2160
1131,2160
1151,2160
1171,2161
1191,2161
1211,2161
1230,2160
1250,2158
1270,2157
1290,2156
1310,2153
1329,2149
1349,2147
1368,2143
1388,2139
1408,2136
1427,2131
1446,2127
1466,2123
1485,2118
1504,2113
1523,2106
1542,2099
1551,2093
1562,2072
2182,1225
2185,1206
2189,1187
2190,1168
2192,1148
2192,1129
2194,1109
2191,1090
2190,1071
2188,1051
2184,1032
2181,1013
2176,995
2174,981
2168,967
2164,948
2158,930
2152,911
2148,892
2138,876
2129,859
2117,843
2104,827
2096,824
2068,815
2049,811
2030,814
2010,813
1991,816
1972,818
1952,821
1933,826
1915,830
1896,835
1877,840
1858,846
1840,853
1821,860
1804,866
1786,875
1768,883
1752,892
1735,901
1718,910
1701,920
1684,929
1668,940
1651,950
1635,961
1620,973
1604,984
1589,997
1575,1010
1559,1022
1544,1034
1530,1048
1519,1063
1505,1077
1492,1091
1479,1106
1469,1123
1460,1137
1450,1154
1438,1174
1454,1195
1458,1213
1456,1230
1449,1244
1456,1262
1468,1278
1479,1294
1490,1310
1501,1325
1515,1342
1528,1356
1542,1370
1557,1382
1573,1394
1590,1404
1606,1413
1624,1421
1639,1431
1657,1439
1673,1451
1689,1461
1704,1473
1721,1485
1738,1496
1754,1505
1770,1514
1787,1521
1804,1531
1822,1539
1841,1547
1859,1554
1877,1559
1895,1563
1915,1568
1934,1571
1953,1574
1973,1574
1992,1573
2011,1572
2031,1570
2050,1566
2071,1561
2090,1553
2096,1547
2110,1524
2121,1508
2129,1490
2136,1472
2143,1454
2150,1436
2153,1417
2159,1398
2162,1379
2163,1359
2170,1341
2171,1322
2173,1302
2175,1283
2177,1264
2180,1244
1600,373
1600,354
1595,326
1590,314
1578,303
1557,295
1539,289
1520,283
1501,277
1482,270
1463,266
1444,263
1424,260
1405,255
1386,250
1366,252
1347,250
1327,249
1307,249
1288,248
1268,247
1248,247
1229,248
1209,251
1189,250
1170,254
1150,255
1131,257
1111,260
1092,264
1073,267
1053,271
1034,276
1015,281
996,287
978,293
959,301
941,307
922,315
904,322
887,331
869,341
862,350
851,375
846,394
844,414
843,434
843,453
846,473
850,492
854,512
859,530
865,550
870,569
875,587
882,606
890,622
898,641
906,659
914,677
922,695
932,712
942,729
953,746
962,763
973,779
984,795
996,811
1007,828
1020,843
1033,858
1045,873
1059,887
1073,901
1088,914
1102,927
1118,939
1134,950
1150,962
1166,973
1179,980
1201,967
1221,967
1237,977
1259,965
1276,954
1293,944
1309,932
1324,920
1339,907
1353,893
1368,880
1380,865
1394,851
1407,836
1420,821
1432,806
1444,790
1455,774
1467,758
1477,741
1487,725
1496,708
1506,690
1515,673
1525,656
1534,639
1543,621
1551,603
1558,584
1564,566
1570,547
1576,528
1581,509
1586,490
1590,471
1594,451
1597,432
1599,412
1600,393
828,1008
813,997
798,985
782,976
767,964
751,954
734,946
718,936
703,926
685,918
668,911
651,903
634,894
618,885
600,879
583,872
565,866
547,862
528,859
510,854
492,849
473,846
455,844
436,844
417,845
398,847
380,851
355,860
346,866
334,880
322,895
311,910
301,926
292,942
282,958
273,975
263,991
254,1007
245,1024
236,1040
227,1057
220,1074
213,1092
209,1110
204,1128
199,1146
193,1164
190,1182
188,1201
185,1220
185,1238
185,1257
185,1276
184,1295
186,1314
189,1332
190,1351
191,1370
195,1388
199,1406
201,1425
207,1443
212,1461
219,1478
226,1496
236,1511
246,1527
258,1542
271,1555
284,1569
300,1580
309,1584
335,1593
353,1595
371,1597
391,1596
410,1594
430,1593
447,1591
464,1587
483,1583
502,1579
520,1575
538,1569
555,1562
572,1554
590,1548
607,1540
622,1533
642,1525
658,1518
675,1508
689,1502
707,1491
724,1482
740,1471
755,1462
771,1452
786,1441
803,1429
814,1422
827,1408
842,1398
855,1384
868,1371
882,1357
895,1344
906,1329
918,1314
930,1300
941,1284
953,1271
964,1256
974,1241
967,1229
966,1211
971,1194
981,1175
966,1156
958,1144
947,1129
935,1112
924,1097
911,1083
898,1070
885,1056
871,1043
857,1031
842,1019
