"V1","V2"
51,427
113,419
146,412
184,395
166,424
222,411
270,402
312,383
330,369
309,426
281,508
262,554
279,626
286,654
342,646
422,628
478,611
547,576
526,519
509,474
507,456
520,454
554,475
586,493
610,502
628,434
640,364
654,302
656,255
651,223
590,225
527,236
498,254
480,275
494,235
515,208
546,163
577,125
581,117
543,86
510,50
471,10
458,1
460,50
481,106
504,140
516,151
480,138
459,105
423,68
366,42
323,34
304,101
290,182
299,240
302,256
327,294
295,284
264,250
215,203
165,161
143,149
132,147
110,236
108,267
87,289
78,301
99,313
126,306
151,304
114,332
76,346
65,388
