"V1","V2"
-5320,-651
-5370,-651
-5530,-541
-5600,-451
-5420,-361
-5260,-191
-4840,79
-4570,169
-4200,239
-3620,299
-4110,679
-4510,1259
-4840,1929
-5040,2549
-5060,3499
-4880,3549
-4310,3659
-3640,3679
-2970,3659
-2260,3699
-2020,3209
-1880,2699
-1800,2099
-1640,2479
-1370,2679
-970,3059
-730,3349
-240,2949
30,2549
320,2169
630,1529
650,1499
1070,589
1090,389
980,99
540,-451
320,-721
180,-791
250,-941
-880,-1231
-1040,-1191
-1040,-1251
-930,-1391
-440,-1851
-20,-2341
290,-2721
490,-3101
600,-3361
200,-3501
-330,-3631
-1200,-3741
-1660,-3921
-2060,-4051
-2400,-4141
-2510,-4141
-2730,-3831
-2860,-3391
-2880,-3031
-3150,-2831
-3220,-3251
-3350,-3321
-3600,-3451
-3930,-3671
-4130,-3831
-4240,-3831
-4480,-3501
-4820,-3251
-5342.42857142854,-2817.28571428574
-5876.42402876306,-2228.0493475718
-5910,-2191
-6260,-1831
-6350,-1631
-6240,-1411
-6060,-1231
-5970,-901
-5820,-721
-5620,-761
-5240,-811
-5000,-721
-5116.66666666666,-651.000000000001
