"V1","V2"
1140,2119
1830,2229
2180,2429
3200,2809
3780,2939
4540,3609
3670,4319
3520,3759
3450,4299
3430,4609
1690,4739
600,3099
580,4939
-195.467775467766,4725.74636174637
-1105.64657232527,4252.08188583073
-1150,4229
-2170,3449
-1730,2959
-1170,2739
-460,2539
-620,2359
-1060,2339
-1880,1919
-2220,1809
-2200,1829
-2620,1649
-1950,-281
-1130,-1481
-110,-951
430,-281
780,609
920,-751
1140,-1461
1320,-2261
2430,-1791
2920,-1241
2850,-1881
3630,-1081
4090,-681
2800,899
2450,1629
1960,1829
1160,2119
